Title,Bank Name,Banking,Technology,Finance,Marketing,Analytics,Management,Cyber Security,Data Science,Assigned Cluster,Assigned Category
Information Security Analyst,BNY Mellon,3,10,3,1,5,1,2,8,technology,FinTech
Lead Rep| Lockbox Mgmt,BNY Mellon,5,4,1,6,0,4,1,3,marketing,Finance
Clerk| Lockbox Management - Night Shift,BNY Mellon,6,3,3,3,3,3,0,5,banking,Finance
Clerk| Lockbox Management - Evening Shift,BNY Mellon,6,3,3,3,3,3,0,5,banking,Finance
Clerk| Lockbox Management - Evening Shift,BNY Mellon,6,3,3,3,3,3,0,5,banking,Finance
Executive Assistant,BNY Mellon,15,13,13,18,4,8,1,17,marketing,Finance
Specialist|DataMgtQntAnalysis,BNY Mellon,8,15,2,11,14,1,2,15,technology,FinTech
VP - Senior Specialist| Product Manager (API Implementation and Support),BNY Mellon,17,12,20,44,2,6,1,8,marketing,Finance
Lead Relationship Manager,BNY Mellon,23,37,18,19,3,8,2,17,technology,FinTech
Sr. Specialist Developer,BNY Mellon,12,18,13,6,4,1,4,12,technology,FinTech
Lead Mgr|Appl Development,BNY Mellon,7,26,5,5,6,4,5,10,technology,FinTech
Insurance Specialist,BNY Mellon,20,6,19,13,3,0,0,7,banking,Finance
Equity Analyst IV,BNY Mellon,5,4,3,7,4,4,1,6,marketing,Finance
Intermediate Representative| Fund/Client Accounting,BNY Mellon,21,7,14,16,14,3,0,17,banking,Finance
Sr. Audit Group Manager,BNY Mellon,19,13,17,13,2,3,1,13,banking,Finance
Senior Specialist| Control,BNY Mellon,15,7,12,14,3,3,0,7,banking,Finance
Technician| Cash Processing/Funds Transfer,BNY Mellon,1,4,1,2,0,1,0,5,data science,FinTech
Technician| Cash Processing/Funds Transfer,BNY Mellon,1,4,1,2,0,1,0,5,data science,FinTech
Principal Project/Program Manager - Greenfield IT Transformation,BNY Mellon,17,23,18,25,3,2,5,14,marketing,Finance
Manager| Document Custody,BNY Mellon,6,0,3,8,1,7,4,2,marketing,Finance
Finance Senior Specialist| External Reporting,BNY Mellon,19,6,13,17,2,1,0,10,banking,Finance
Principal| Data Management & Reporting,BNY Mellon,6,4,3,11,5,3,0,5,marketing,Finance
Inter. Rep| Client Processing,BNY Mellon,17,6,7,9,7,1,0,5,banking,Finance
Recruitment Administrator (Representative| HR Serv Del),BNY Mellon,20,8,10,13,3,6,2,11,banking,Finance
Manager - Client On Boarding / Transitions / Conversions / KYC,BNY Mellon,6,6,4,18,1,12,4,3,marketing,Finance
Principal Consultant Compensation (Wealth Management),BNY Mellon,20,13,16,9,1,2,3,2,banking,Finance
Wealth Manager II Fiduciary Specialist,BNY Mellon,9,6,10,9,2,0,1,8,finance,Finance
Principal Program Manager| IT Change and Risk Management,BNY Mellon,17,15,18,23,0,0,3,10,marketing,Finance
Implementation Lead Analyst| Client Onboarding,BNY Mellon,10,6,7,10,8,3,0,12,data science,FinTech
Inter. Rep| Fund/ClientAccting,BNY Mellon,9,4,1,4,14,2,0,9,analytics,FinTech
Lead Analyst| Client Processing - AML,BNY Mellon,9,4,7,6,4,0,4,7,banking,Finance
Senior Specialist| Application Support Analyst,BNY Mellon,26,30,25,24,10,8,9,27,technology,FinTech
Specialist| Data Management & Quantitative Analysis,BNY Mellon,33,23,23,31,30,4,4,42,data science,FinTech
Senior Specialist| Data Management & Quantitative Analysis,BNY Mellon,27,22,18,27,21,5,3,31,data science,FinTech
Representative| Client Service,BNY Mellon,5,6,2,5,1,1,0,6,technology,FinTech
Sr. Group Manager| Third Party Governance,BNY Mellon,20,18,18,18,1,6,0,21,data science,FinTech
Sr Administrative Assistant,BNY Mellon,12,13,9,27,4,17,2,18,marketing,Finance
Analyst|DataMgmtQuantAnalysis,BNY Mellon,7,10,3,5,11,1,0,11,analytics,FinTech
Team Lead| Reconciliation,BNY Mellon,4,10,1,9,2,8,1,6,technology,FinTech
Specialist| Travel & Expenses (Corporate Cards) Corporate Services,BNY Mellon,12,20,10,14,4,5,1,12,technology,FinTech
Rep| ShareholderServices,BNY Mellon,6,8,0,2,4,2,0,6,technology,FinTech
Wealth Management - Head of Equities,BNY Mellon,2,3,3,2,1,1,3,3,technology,FinTech
Principal| Product Management,BNY Mellon,8,8,10,30,1,2,0,1,marketing,Finance
Principal Information Security Analyst- Adversary Hunt Program,BNY Mellon,15,26,13,8,10,3,5,19,technology,FinTech
Senior Analyst| Client Service,BNY Mellon,10,2,6,6,1,1,2,3,banking,Finance
HedgeMark Poland DMA Junior Onboarder,BNY Mellon,37,13,23,29,18,6,2,25,banking,Finance
Specialist| Business Technology Liaison- Yardi,BNY Mellon,28,35,22,26,12,10,8,15,technology,FinTech
Specialist| Client Service,BNY Mellon,10,4,8,9,1,2,2,5,banking,Finance
Specialist Developer,BNY Mellon,4,27,2,10,7,8,5,12,technology,FinTech
Sr. Tech| Cash Management,BNY Mellon,12,0,6,4,1,2,0,1,banking,Finance
Sr Specialist Bus Analysis,BNY Mellon,27,25,24,16,2,2,3,14,banking,Finance
Sr Specialist Bus Analysis,BNY Mellon,27,25,24,16,2,2,3,14,banking,Finance
Principal| Relationship Management,BNY Mellon,23,10,21,23,5,3,1,11,banking,Finance
SrGrpMgr| Tech Risk Mgmt (Technology Risk- Project Assurance),BNY Mellon,10,33,10,12,1,7,3,2,technology,FinTech
Sr. Specialist| External Reporting - Liquidity Regulatory Reporting (Vice President),BNY Mellon,20,6,10,7,4,1,0,7,banking,Finance
Senior Auditor-(Technology-Infrastructure),BNY Mellon,21,19,16,20,5,2,1,23,data science,FinTech
Lead Analyst| Fund/Client Accounting (HedgeMark),BNY Mellon,45,20,30,36,16,8,3,36,banking,Finance
Senior Group Manager| Credit Risk - Head of Credit| European Bank/ Credit Risk Director| European Bank,BNY Mellon,65,26,52,75,8,26,3,16,marketing,Finance
Group Manager| Control - MIS Strategy / Reporting,BNY Mellon,8,10,7,5,4,2,0,4,technology,FinTech
Manager| Document Custody,BNY Mellon,6,0,3,8,1,7,4,2,marketing,Finance
Representative| Client Processing,BNY Mellon,12,5,5,7,7,1,1,6,banking,Finance
Senior Analyst| Client Service,BNY Mellon,9,1,8,10,0,3,0,4,marketing,Finance
Senior Analyst| Client Service,BNY Mellon,9,1,8,10,0,3,0,4,marketing,Finance
Client Onboarding Project Planner,BNY Mellon,4,6,4,10,1,1,3,8,marketing,Finance
SrSpecialist| Prog & Proj Mgmt,BNY Mellon,6,8,6,22,0,2,2,8,marketing,Finance
Senior Specialist| Business Continuity/Recovery,BNY Mellon,27,16,21,13,11,3,2,18,banking,Finance
Senior Analyst| Enterprise Relationship Management (m/w/d),BNY Mellon,8,10,7,4,9,1,2,17,data science,FinTech
Representative| Client Processing Late Shift (3pm-11pm),BNY Mellon,15,8,7,10,0,4,1,3,banking,Finance
Analyst| Client Service,BNY Mellon,6,2,5,5,1,1,2,3,banking,Finance
Portfolio Analyst,BNY Mellon,2,0,1,3,1,0,0,1,marketing,Finance
Representative| Client Processing,BNY Mellon,6,4,6,3,0,0,0,2,banking,Finance
Vice President| Digital Partnerships,BNY Mellon,13,15,17,14,2,4,0,3,finance,Finance
Business Management Analyst| EMEA COO Office,BNY Mellon,16,6,18,18,0,3,0,12,finance,Finance
Senior Specialst Infrastructure Operations Analyst - zLINUX and zVM,BNY Mellon,5,19,5,7,7,3,2,17,technology,FinTech
Data Analyst,BNY Mellon,2,8,2,2,16,3,2,18,data science,FinTech
Intermediate Representative| Fund/Client Accounting,BNY Mellon,9,4,1,4,14,2,0,9,analytics,FinTech
Head of Regional Real Estate (Exec Mgr| RE Asset Mgmt),BNY Mellon,25,6,23,17,0,6,1,2,banking,Finance
Rep| Client Processing,BNY Mellon,12,5,5,7,7,1,1,6,banking,Finance
Personal Assistant (Sr Administrative Assistant),BNY Mellon,8,6,8,11,0,6,0,8,marketing,Finance
Lead Rep| Reconciliation,BNY Mellon,14,7,11,16,4,6,0,12,marketing,Finance
Specialist| Data Governance,BNY Mellon,7,1,3,3,24,3,1,23,analytics,FinTech
Sr Specialist| Data Governance,BNY Mellon,13,10,10,2,35,2,1,42,data science,FinTech
Sr. Specialist| Sol Consulting - Implementation Architect,BNY Mellon,38,46,41,56,17,10,6,40,marketing,Finance
ExecMgr|DataMgmtQuantAnalysis/Asset Servicing,BNY Mellon,10,7,6,9,9,4,1,15,data science,FinTech
Lead Manager| Fund Administration,BNY Mellon,32,8,24,28,10,7,0,18,banking,Finance
Senior Transaction Manager| Issuer Services| Corporate Trust,BNY Mellon,31,15,21,18,6,7,2,9,banking,Finance
Regulatory Reporting Analyst - Sr. Specialist| External Reporting,BNY Mellon,21,6,11,8,4,1,0,8,banking,Finance
Senior Representative| Fund/Client Accounting - Eagle Model Office,BNY Mellon,25,8,15,24,13,10,0,17,banking,Finance
Lead Representative| Middle Office - Markets,BNY Mellon,23,10,20,38,6,18,2,20,marketing,Finance
Lead Analyst| Data Management & Quantitative Analysis,BNY Mellon,14,14,11,15,12,2,2,19,data science,FinTech
Group Manager| Control,BNY Mellon,12,12,9,13,3,5,0,8,marketing,Finance
Specialist| Financial Planning & Analysis,BNY Mellon,13,7,11,6,4,3,0,6,banking,Finance
Team Lead Client Processing,BNY Mellon,19,9,14,21,1,8,1,10,marketing,Finance
Sr Principal| Enterp. Rel Mgmt,BNY Mellon,46,17,45,44,9,5,1,30,banking,Finance
Sr. Representative| Program  & Project Management,BNY Mellon,3,2,2,11,2,3,1,3,marketing,Finance
Rep| Client Processing,BNY Mellon,12,5,5,7,7,1,1,6,banking,Finance
Specialist| Client Service,BNY Mellon,10,4,8,9,1,2,2,5,banking,Finance
Lead Rep| Middle Office,BNY Mellon,11,6,5,21,5,16,0,10,marketing,Finance
Head of Corporate Communications| India,BNY Mellon,18,34,20,25,2,9,3,11,technology,FinTech
Sr. Specialist| Program & Project Management,BNY Mellon,7,9,7,22,0,2,2,8,marketing,Finance
LeadRepNS| Fund/Client Accting,BNY Mellon,13,6,2,12,13,9,0,10,banking,Finance
Rep| Client Processing,BNY Mellon,12,5,5,7,7,1,1,6,banking,Finance
Rep| Client Processing,BNY Mellon,12,5,5,7,7,1,1,6,banking,Finance
Senior Representative Client Processing - Loan Operations,BNY Mellon,29,9,20,21,6,3,0,13,banking,Finance
Client Processing Representative - Loan Operations,BNY Mellon,25,9,18,19,7,2,1,15,banking,Finance
Senior Analyst| Hedge Fund Accounting,BNY Mellon,19,12,15,19,8,7,1,24,data science,FinTech
Lead Manager| Fund/Client Accounting (m/w/d),BNY Mellon,17,6,13,16,5,3,1,16,banking,Finance
Sr. Group Manager| Third Party Governance (TPG) - Policy Program Governance Lead,BNY Mellon,14,9,13,14,1,4,0,9,banking,Finance
Specialist| BusPlanAnalysis,BNY Mellon,8,2,3,9,6,2,1,7,marketing,Finance
Newton| Senior Business Analyst (Investments),BNY Mellon,0,0,0,0,0,0,0,0,banking,Finance
Sr.Spec IS Adm & Plan'g Cons't,BNY Mellon,17,17,20,22,3,10,2,12,marketing,Finance
Sr. Specialist Developer,BNY Mellon,12,18,13,6,4,1,4,12,technology,FinTech
Sr. Specialist Developer,BNY Mellon,12,20,13,6,5,2,5,14,technology,FinTech
Lead Business Analyst,BNY Mellon,19,10,12,6,4,1,4,8,banking,Finance
IM EMEA| Senior Sales Manager,BNY Mellon,16,5,18,14,1,1,1,11,finance,Finance
Sr. Group Manager| IT Risk Management,BNY Mellon,9,14,12,11,1,5,2,8,technology,FinTech
Senior Specialist| Product Manager,BNY Mellon,11,7,7,23,7,3,1,2,marketing,Finance
Newton| Database Engineer,BNY Mellon,13,11,11,12,20,7,0,26,data science,FinTech
Specialist| Reg Oversight Mgmt,BNY Mellon,6,3,5,7,1,2,1,3,marketing,Finance
Newton| Data Engineer (Front Office),BNY Mellon,14,11,12,13,21,8,1,27,data science,FinTech
Sr. Specialist Developer,BNY Mellon,12,18,13,6,4,1,4,12,technology,FinTech
Principal|Business Development,BNY Mellon,29,9,24,21,10,3,4,9,banking,Finance
International Accounting Policy Director,BNY Mellon,22,9,11,9,16,3,4,13,banking,Finance
Lead Manager| Fund/Client Accountig (m/w/d),BNY Mellon,14,2,6,14,7,8,0,7,banking,Finance
Specialist| Solutions Consulting - Insurance Accounting,BNY Mellon,31,11,28,29,11,4,2,22,banking,Finance
Lead Analyst| Solutions Consulting - Insurance Accounting,BNY Mellon,22,13,19,22,13,5,2,22,banking,Finance
Principal| Relationship Mgmt,BNY Mellon,23,10,21,23,5,3,1,11,banking,Finance
Sr. Analyst| BusPlanAnalysis - Operation Analyst,BNY Mellon,7,3,2,9,7,3,0,10,data science,FinTech
Sr. Rep| Client Processing,BNY Mellon,17,6,7,9,6,2,0,5,banking,Finance
Senior Group Manager| Third Party Governance (TPG) Vendor Manager,BNY Mellon,12,8,11,9,0,6,0,4,banking,Finance
Third Party Governance| Data & Analytics Manager,BNY Mellon,5,8,4,8,16,4,0,18,data science,FinTech
Third Party Governance (TPG)| Process Execution Analyst,BNY Mellon,14,6,9,7,2,3,0,4,banking,Finance
Analyst|Data Management Quantitative Analysis,BNY Mellon,18,11,15,17,11,2,0,19,data science,FinTech
IT Audit/SOX Specialist (Vice President),BNY Mellon,10,1,7,6,0,2,0,2,banking,Finance
Sr Specialist Information Security Analyst- Enterprise Encryption Principal,BNY Mellon,18,45,18,13,10,4,18,18,technology,FinTech
Sr. Tech|Client Processing,BNY Mellon,13,4,4,4,3,0,0,5,banking,Finance
Lead Representative NS| Fund/Client Accounting,BNY Mellon,22,8,13,21,14,9,0,18,banking,Finance
Senior Analyst| Client Service,BNY Mellon,7,2,5,6,1,2,2,3,banking,Finance
Custody Oversight Manager,BNY Mellon,13,7,9,9,3,1,0,10,banking,Finance
Analyst|DataManagement Quantitative Analysis,BNY Mellon,18,11,15,17,11,2,0,19,data science,FinTech
Analyst|Client Processing,BNY Mellon,18,5,15,18,7,4,1,16,banking,Finance
Analyst|Client Processing,BNY Mellon,18,5,15,18,7,4,1,16,banking,Finance
Analyst|Client Processing,BNY Mellon,18,5,15,18,7,4,1,16,banking,Finance
Analyst|Client Processing,BNY Mellon,18,5,15,18,7,4,1,16,banking,Finance
Clerk| Lockbox Management,BNY Mellon,6,3,3,3,3,3,0,5,banking,Finance
Principal| Client Service,BNY Mellon,23,7,23,22,2,4,2,14,banking,Finance
Group Mgr|Appl Support,BNY Mellon,9,14,11,14,4,6,5,12,technology,FinTech
Rep| Client Processing,BNY Mellon,12,5,5,7,7,1,1,6,banking,Finance
Sr.Spec'st Project/Prgm Mgr,BNY Mellon,23,29,18,44,7,4,8,25,marketing,Finance
Inter. Rep| Fund/ClientAccting,BNY Mellon,9,4,1,4,14,2,0,9,analytics,FinTech
Sr. Grp Mgr| Data Governance,BNY Mellon,21,18,19,16,28,6,3,37,data science,FinTech
Intermediate Representative| Accounting,BNY Mellon,34,19,19,14,11,0,2,21,banking,Finance
Team Lead| Middle Office,BNY Mellon,12,9,13,22,3,9,1,11,marketing,Finance
Manager| Middle Office,BNY Mellon,15,8,7,15,3,9,2,11,banking,Finance
Intermediate Representative| Corporate Actions,BNY Mellon,14,4,5,5,1,0,0,2,banking,Finance
Rep| Client Processing,BNY Mellon,12,5,5,7,7,1,1,6,banking,Finance
Lead Analyst| Accounting,BNY Mellon,33,16,15,16,17,8,1,14,banking,Finance
Principal| Strategic Planning (Corporate Strategy),BNY Mellon,36,27,41,30,5,5,1,14,finance,Finance
Database Developer-Oracle| PL/SQL| SQL Server| T-SQL / (Specialist Developer),BNY Mellon,12,29,11,12,11,6,5,17,technology,FinTech
Sr. Rep| Bus Tech Liaison,BNY Mellon,4,17,3,3,4,1,2,8,technology,FinTech
Spec| Credit Risk,BNY Mellon,20,9,18,18,3,4,3,8,banking,Finance
Representative| Client Service,BNY Mellon,6,3,3,3,2,0,2,4,banking,Finance
Client Liaison Administrator,BNY Mellon,5,4,3,12,1,7,2,6,marketing,Finance
Sr. Specialist Project / Program Manager - Greenfield,BNY Mellon,11,22,13,20,3,3,3,13,technology,FinTech
Associate Wealth Manager,BNY Mellon,2,2,2,4,1,0,0,3,marketing,Finance
Software Engineer in Test (QA Engineer),BNY Mellon,24,26,16,15,13,3,7,23,technology,FinTech
Lead Manager| Financial Planning & Analysis,BNY Mellon,23,8,23,19,4,5,1,11,banking,Finance
Specialist| QA Testing Analyst (Manual),BNY Mellon,4,7,2,7,2,5,2,3,technology,FinTech
Specialist| Global Business Change,BNY Mellon,11,5,6,22,2,2,3,6,marketing,Finance
Senior Analyst| Client Service,BNY Mellon,7,2,5,6,1,2,2,3,banking,Finance
Wholesaler (Michigan Territory),BNY Mellon,11,6,13,14,1,1,2,11,marketing,Finance
SOX Compliance & Controls - Finance (Vice President),BNY Mellon,5,2,1,2,1,1,0,0,banking,Finance
Process Payroll Manager with German,BNY Mellon,19,8,12,10,6,4,3,14,banking,Finance
Princ'l Arch't|Data Mgt,BNY Mellon,20,25,16,9,43,4,4,46,data science,FinTech
Audit Senior (Tech Audit),BNY Mellon,37,19,28,29,9,3,4,36,banking,Finance
Audit Senior- Corporate Treasury,BNY Mellon,21,1,13,11,6,1,1,12,banking,Finance
SrSpecialist|ProductManagement,BNY Mellon,8,12,10,25,2,1,0,4,marketing,Finance
Sr. Tech| Investor Srvcs Ops,BNY Mellon,12,8,9,12,5,4,0,15,data science,FinTech
ExecMgr| Tech Risk Mgmt (Chief Technology Risk Officer| Americas),BNY Mellon,24,47,21,12,5,5,3,3,technology,FinTech
Portfolio Accountant,BNY Mellon,7,4,5,7,2,2,0,4,banking,Finance
Sr.Spec Sys Eng./Prgmmer-DevSecOps/Automation Engineer Linux/Unix,BNY Mellon,16,52,12,13,16,4,7,35,technology,FinTech
Princ'l Arch't|Appl Dev*,BNY Mellon,8,19,10,5,5,0,5,11,technology,FinTech
Sr. Specialist Quality Assurance/Testing Analyst,BNY Mellon,8,11,8,9,1,2,2,8,technology,FinTech
Lead Rep| Fund Reporting,BNY Mellon,8,4,3,12,6,9,1,10,marketing,Finance
Specialist| SOX Compliance & Controls (Vice President),BNY Mellon,22,5,18,13,3,1,0,7,banking,Finance
Specialist| Corporate Tax,BNY Mellon,3,4,3,3,1,0,2,3,technology,FinTech
Lead Analyst| Admin & Planning,BNY Mellon,9,0,7,7,2,2,1,2,banking,Finance
Portfolio Analyst,BNY Mellon,3,0,0,0,3,0,0,0,banking,Finance
Principal| Mktg and Comm (Thought Leadership and Content Strategy),BNY Mellon,8,2,7,4,1,0,1,3,banking,Finance
InterRep|DataMgtQuantAnalysis,BNY Mellon,2,4,3,6,11,4,2,15,data science,FinTech
Principal Network Engineer,BNY Mellon,12,24,10,13,15,3,8,23,technology,FinTech
Principal Network Engineer,BNY Mellon,13,30,11,13,18,3,9,27,technology,FinTech
Spec'st Info Security Analyst,BNY Mellon,14,13,14,15,5,3,2,14,marketing,Finance
Sr. Specialist Developer,BNY Mellon,6,15,5,1,5,2,4,8,technology,FinTech
Lead Representative NS| Fund/Client Accounting -  Derivative Support Trade Team,BNY Mellon,25,9,15,24,13,10,0,18,banking,Finance
Tech Lead App Dev,BNY Mellon,8,46,8,14,16,14,16,44,technology,FinTech
Senior Specialist| Compliance and Control,BNY Mellon,20,10,18,11,0,0,1,3,banking,Finance
Sr. Group Manager. Application Development and Monitoring,BNY Mellon,23,57,22,18,12,8,13,22,technology,FinTech
Senior Group Manager| Business Development,BNY Mellon,19,11,25,27,1,3,2,16,marketing,Finance
Specialist Developer,BNY Mellon,10,66,10,13,21,7,17,32,technology,FinTech
VP - Group Manager| Application Development - (IAM)  Identity Access Management,BNY Mellon,20,61,19,25,14,9,12,30,technology,FinTech
Client Processing Representative,BNY Mellon,24,8,18,19,7,2,1,14,banking,Finance
Performance Sales Engineer (Specialist| Business Development Support),BNY Mellon,16,16,17,18,5,4,1,16,marketing,Finance
Lead Analyst| Fund Reporting,BNY Mellon,12,0,8,10,4,2,0,6,banking,Finance
Specialist| Fund/Client Accounting| Eagle Model Office,BNY Mellon,27,5,17,21,7,6,0,11,banking,Finance
Analyst| Middle Office,BNY Mellon,14,10,7,10,5,2,2,12,banking,Finance
Specialist Developer,BNY Mellon,8,28,9,15,7,7,5,17,technology,FinTech
VP - Principal Architect| Application Development (BIG DATA),BNY Mellon,21,62,20,16,26,8,16,35,technology,FinTech
Specialist Developer â€“ Kofax| OCR/Smartform and Workflow Automation,BNY Mellon,20,49,16,15,12,12,11,31,technology,FinTech
Senior Specialist| Project Manager - AIS,BNY Mellon,10,1,8,12,5,5,1,6,marketing,Finance
Group Manager| Fund/Client Accounting,BNY Mellon,15,2,6,14,7,8,2,7,banking,Finance
Lead Analyst| Data Transfer| Integration & Quality-Wilmington| DE,BNY Mellon,21,13,16,25,9,4,0,19,marketing,Finance
Information Risk Officer I,BNY Mellon,12,6,14,10,1,1,0,8,finance,Finance
Estate Administrator I,BNY Mellon,11,5,11,11,2,0,0,8,banking,Finance
Senior Software Engineer,BNY Mellon,14,19,16,19,16,3,10,27,data science,FinTech
Specialist| Bus Tech Liaison,BNY Mellon,16,29,15,14,7,5,8,11,technology,FinTech
Sr. Specialist Developer,BNY Mellon,12,18,13,6,4,1,4,12,technology,FinTech
Specialist| Sourcing,BNY Mellon,15,5,15,13,7,1,1,15,banking,Finance
Ld Rep| DataMgmtQuantAnalysis,BNY Mellon,14,6,14,19,5,6,1,17,marketing,Finance
Senior Analyst - Client Reporting/Performance,BNY Mellon,25,14,20,28,13,5,1,34,data science,FinTech
Tech Lead QA & Testing,BNY Mellon,8,43,10,25,12,14,9,26,technology,FinTech
Specialist Quality Assurance / Testing Analyst,BNY Mellon,6,7,6,11,2,4,2,8,marketing,Finance
Group Manager| Business Planning Analysis (Cash),BNY Mellon,17,7,17,28,3,10,2,12,marketing,Finance
SrAnalyst|DtaMgtQuantAnalysis,BNY Mellon,20,11,15,20,13,3,0,21,data science,FinTech
Specialist Developer,BNY Mellon,7,17,8,9,5,3,5,13,technology,FinTech
Lead Rep| Client Service,BNY Mellon,5,9,1,14,1,11,1,3,marketing,Finance
SrPrincipal| ProductManagement,BNY Mellon,19,17,23,30,0,7,1,5,marketing,Finance
SrSpec| Accounting,BNY Mellon,45,17,19,13,23,5,2,13,banking,Finance
Senior Principal| Product Management & Strategyâ€“ Senior Buy-Side Expert| Collateral Management,BNY Mellon,31,19,41,67,3,5,1,12,marketing,Finance
Private Banker - Boston,BNY Mellon,29,16,30,17,2,1,0,14,finance,Finance
Specialist Developer,BNY Mellon,15,34,15,18,16,12,8,28,technology,FinTech
Technology Leadership Program,BNY Mellon,12,44,13,8,7,0,1,20,technology,FinTech
Intermediate Representative| Client Reporting/Performance,BNY Mellon,23,10,19,23,12,4,1,26,data science,FinTech
Lead Analyst - Data Management and Quantitative Analysis - CSD Control Management,BNY Mellon,20,15,16,18,11,2,1,19,banking,Finance
Vice President| Operations,BNY Mellon,3,11,1,9,0,8,0,10,technology,FinTech
Group Mgr|Appl Development,BNY Mellon,23,38,20,24,1,10,0,16,technology,FinTech
Specialist Developer,BNY Mellon,29,40,23,28,9,15,7,19,technology,FinTech
Lead Developer,BNY Mellon,20,41,19,18,2,7,0,13,technology,FinTech
LdAnlyst| Fac Mgmt&Ops,BNY Mellon,36,19,32,35,4,7,6,23,banking,Finance
Senior Internal Wholesaler,BNY Mellon,34,27,35,34,6,3,2,31,finance,Finance
Lead Developer,BNY Mellon,19,41,18,18,2,7,0,13,technology,FinTech
Senior Specialist Information Security Analyst - Senior SOC Analyst,BNY Mellon,20,44,16,13,17,7,7,29,technology,FinTech
Specialist Developer,BNY Mellon,10,14,11,13,6,3,4,15,data science,FinTech
Senior Specialist| Program & Project Management - Risk Expert,BNY Mellon,20,5,21,29,0,1,1,8,marketing,Finance
Portfolio Analyst,BNY Mellon,9,4,8,8,3,0,0,6,banking,Finance
Principal Architect|Information Security - Next Generation Infrastructure Security Architect,BNY Mellon,17,52,16,12,7,5,10,18,technology,FinTech
Sr Specialst Information Security Analyst- Enterprise Encryption Consultant,BNY Mellon,18,45,18,13,10,4,18,18,technology,FinTech
Sr Specialist Info Security Analyst- Enterprise Encryption Principal,BNY Mellon,18,45,18,13,10,4,18,18,technology,FinTech
Lead QA/Testing A'lyst,BNY Mellon,11,13,11,17,5,8,5,14,marketing,Finance
Service Director| Client Experience,BNY Mellon,21,5,17,20,3,4,1,6,banking,Finance
Specialist Information Security Analyst - Data Analyst,BNY Mellon,13,26,13,13,6,4,5,14,technology,FinTech
Sr. Specialist Developer,BNY Mellon,18,46,18,20,9,11,8,22,technology,FinTech
Senior Specialist Quality Assurance / Testing Analyst,BNY Mellon,6,8,6,9,1,2,1,7,marketing,Finance
Specialist Quality Assurance/Testing Analyst,BNY Mellon,6,7,6,11,2,4,2,8,marketing,Finance
Specialist Developer,BNY Mellon,8,21,9,6,6,0,8,16,technology,FinTech
Exec. Mgr| General Management,BNY Mellon,7,2,5,11,0,5,1,0,marketing,Finance
Client Service Delivery Administrator,BNY Mellon,4,3,3,4,3,2,0,6,data science,FinTech
Rep| Credit/LoanAdministration,BNY Mellon,26,10,21,19,3,2,0,15,banking,Finance
Sr. Specialist| Network Mgmt,BNY Mellon,38,8,37,31,0,9,0,13,banking,Finance
Sr. Specialist| Regulatory Oversight Management,BNY Mellon,20,13,23,19,6,0,1,15,finance,Finance
DevOps Developer (Java| J2EE| REST Web Services),BNY Mellon,10,39,12,13,12,4,8,24,technology,FinTech
Sr. Analyst| Corporate Actions,BNY Mellon,35,9,29,28,5,3,3,12,banking,Finance
Senior RIA Consultant,BNY Mellon,13,9,18,19,1,2,1,12,marketing,Finance
Lead Mgr|Project/Prgm Mgmnt,BNY Mellon,13,13,14,26,0,4,1,12,marketing,Finance
Director| Marketing Planning and Operations,BNY Mellon,30,16,39,41,3,5,3,19,marketing,Finance
Sr.Specialist Business Analysis Consultant - Third Party Vendor Risk Management,BNY Mellon,11,10,14,9,1,1,1,9,finance,Finance
Senior Analyst| Client Service,BNY Mellon,7,2,5,6,1,2,2,3,banking,Finance
Sr. Analyst| Corporate Actions,BNY Mellon,35,9,29,28,5,3,3,12,banking,Finance
Sr. Specialist| Rel. Mgmt,BNY Mellon,34,9,33,33,6,3,1,20,banking,Finance
Spec'st Appl Support Analyst,BNY Mellon,10,24,11,18,8,6,10,18,technology,FinTech
Principal Information Security Analyst,BNY Mellon,9,15,11,6,3,2,3,9,technology,FinTech
Executive Mgr| Bus Development Asset Servicing,BNY Mellon,34,18,37,21,3,5,4,14,finance,Finance
Senior Wealth Manager - New York City,BNY Mellon,23,9,26,19,1,1,1,15,finance,Finance
Arch't|Information Security,BNY Mellon,11,11,13,12,2,2,1,10,finance,Finance
Principal| Facilities Management and Operations,BNY Mellon,22,12,21,18,1,2,2,11,banking,Finance
Rep| Client Processing-Trade,BNY Mellon,24,8,18,19,7,2,1,14,banking,Finance
Specialist Business Analysis Consultant,BNY Mellon,34,26,27,16,5,2,3,16,banking,Finance
Sr.Spec Sys Engineer/Programmer-- ETL Data Warehouse Engineer,BNY Mellon,16,52,12,13,16,4,7,35,technology,FinTech
Prin| Model Dev (Market Risk Quant Modeler),BNY Mellon,19,20,21,18,21,4,8,33,data science,FinTech
SrPrin| Mkt (Liq) Risk (Market Risk Mgr - Structured Products),BNY Mellon,25,11,29,20,2,1,2,9,finance,Finance
BNY Mellon Apprenticeship,BNY Mellon,21,11,20,19,1,3,1,12,banking,Finance
Senior Marketing Manager,BNY Mellon,15,11,23,27,0,4,1,14,marketing,Finance
Manager| Fund Accounting,BNY Mellon,22,9,19,25,3,6,1,18,marketing,Finance
Specialist| Fund/Client Accounting (Private Equity Fund Accounting and Waterfall Analysis),BNY Mellon,11,7,8,9,7,1,1,9,banking,Finance
